ID,hijri_year,gregorian_date,gregorian_year,gregorian_month,gregorian_day,region_number,region_name,male_count,female_count,age_under_18,age_18_to_30,age_30_to_40,age_40_to_50,age_over_50,saudi_national_count,non_saudi_national_count,death_flag,injured_flag,total_deaths,total_injuries
1,1437,10/14/2015,2015,10,14,1,riyadh,279,31,65,94,125,15,11,172,138,0,1,0,310
2,1437,11/13/2015,2015,11,13,1,riyadh,245,93,61,89,82,63,43,204,134,0,1,0,338
3,1437,12/12/2015,2015,12,12,1,riyadh,244,89,59,88,85,59,42,187,146,0,1,0,333
4,1437,1/11/2016,2016,1,11,1,riyadh,303,36,61,89,81,64,44,177,162,0,1,0,339
5,1437,2/10/2016,2016,2,10,1,riyadh,294,29,56,84,79,62,42,158,165,0,1,0,323
6,1437,3/10/2016,2016,3,10,1,riyadh,306,37,91,87,83,63,19,195,148,0,1,0,343
7,1437,4/8/2016,2016,4,8,1,riyadh,344,33,36,144,131,36,30,177,200,0,1,0,377
8,1437,5/8/2016,2016,5,8,1,riyadh,337,45,26,163,131,39,23,209,173,0,1,0,382
9,1437,6/6/2016,2016,6,6,1,riyadh,423,46,108,146,136,44,35,205,264,0,1,0,469
10,1437,7/6/2016,2016,7,6,1,riyadh,314,35,32,106,55,142,14,194,155,0,1,0,349
11,1437,8/4/2016,2016,8,4,1,riyadh,254,22,46,68,83,49,30,149,127,0,1,0,276
12,1437,9/2/2016,2016,9,2,1,riyadh,330,38,68,132,111,34,23,169,199,0,1,0,368
13,1437,10/14/2015,2015,10,14,2,madinah,298,43,2,30,98,145,66,160,181,0,1,0,341
14,1437,11/13/2015,2015,11,13,2,madinah,337,41,20,90,120,87,61,206,172,0,1,0,378
15,1437,12/12/2015,2015,12,12,2,madinah,286,71,50,120,65,82,40,220,137,0,1,0,357
16,1437,1/11/2016,2016,1,11,2,madinah,265,69,44,78,69,93,50,148,186,0,1,0,334
17,1437,2/10/2016,2016,2,10,2,madinah,293,44,55,68,81,70,63,168,169,0,1,0,337
18,1437,3/10/2016,2016,3,10,2,madinah,323,80,69,82,94,102,56,189,214,0,1,0,403
19,1437,4/8/2016,2016,4,8,2,madinah,311,58,70,78,76,86,59,172,197,0,1,0,369
20,1437,5/8/2016,2016,5,8,2,madinah,288,59,59,73,76,78,61,175,172,0,1,0,347
21,1437,6/6/2016,2016,6,6,2,madinah,309,46,15,46,50,80,164,140,215,0,1,0,355
22,1437,7/6/2016,2016,7,6,2,madinah,294,30,40,50,110,35,89,192,132,0,1,0,324
23,1437,8/4/2016,2016,8,4,2,madinah,254,61,40,85,90,60,40,149,166,0,1,0,315
24,1437,9/2/2016,2016,9,2,2,madinah,278,46,25,60,121,87,31,194,130,0,1,0,324
25,1437,10/14/2015,2015,10,14,3,easternprovince,264,166,24,119,110,108,69,249,181,0,1,0,430
26,1437,11/13/2015,2015,11,13,3,easternprovince,448,101,34,168,145,123,79,357,192,0,1,0,549
27,1437,12/12/2015,2015,12,12,3,easternprovince,341,117,36,154,133,81,54,311,147,0,1,0,458
28,1437,1/11/2016,2016,1,11,3,easternprovince,386,111,29,164,136,103,65,340,157,0,1,0,497
